name,addressline1,addressline2,addressline3,addressline4,website,Automyyntiphone,Automyyntiphoneemail,Huolto_ja_varaosat,Huolto_ja_varaosatphone,Huolto_ja_varaosatphoneemail
MetroAuto Herttoniemi,Mekaanikonkatu 9,Helsinki 00880,,,www.metroauto.fi,Automyynti: 010 615 4010,metroauto.helsinki@asiakasviestit.fi,Huolto ja varaosat:,010 615 4040,herttoniemi.huolto@metroauto.fi
"Alppilan Autohuolto, Konala",Muonamiehentie 12,HELSINKI 00390,,,www.alppilanautohuolto.fi,,,Huolto ja varaosat:,075 326 5540,konala@alppilanautohuolto.fi
"MetroAuto Espoo, Niittykumpu",Kotitontuntie 2,Espoo 02200,,,www.metroauto.fi,Automyynti: 010 615 7010,metroauto.niittykumpu@asiakasviestit.fi,Huolto ja varaosat:,010 615 7040,niittykumpu.huolto@metroauto.fi
Autoservia,Aamuruskontie 12,Helsinki 00750,,,www.autoservia.fi,,,Huolto ja varaosat:,0300 472 235,pasi.liukko@autoservia.fi
Autoverkkokauppa.fi,Klinkkerikaari 2,Vantaa 01720,,,www.autoverkkokauppa.fi,Automyynti: 0207 997 810,myynti.petikko@autoverkkokauppa.fi,Huolto ja varaosat:,0207 997 830,huolto.petikko@autoverkkokauppa.fi
Autosalpa Oy,Alikeravantie 26,Kerava 04250,,,www.autosalpa.fi/fi/yhteystiedot/kerava/,Automyynti: 020 7799 505,myynti.kerava@autosalpa.fi,Huolto ja varaosat:,020 7799 510,huolto.kerava@autosalpa.fi
Lohjanportin Auto Oy,Lohjanharjuntie 1111,Lohja 08500,,,www.lohjanportinauto.fi,Automyynti: 0207 458 300,vauriokorjaamo@lohjanportinauto.fi,Huolto ja varaosat:,020 745 8334,huolto.tynninharju@lohjanportinauto.fi
Autosalpa Oy,Ratsumestarinkatu 1,Porvoo 06100,,,www.autosalpa.fi/fi/yhteystiedot/porvoo/,Automyynti: 020 779 9305,myynti.porvoo@autosalpa.fi,Huolto ja varaosat:,020 7799 310,huolto.porvoo@autosalpa.fi
Autosalpa Oy,Veikkarinkatu 4,Hyvink 05840,,,www.autosalpa.fi/fi/yhteystiedot/hyvinkaa/,Automyynti: 020 7799 955,myynti.hyvinkaa@autosalpa.fi,Huolto ja varaosat:,020 779 9960,hyvinkaa.huolto@autosalpa.fi
Autosalpa Oy,Ruununmyllyntie 12,Hmeenlinna 13210,,,www.autosalpa.fi/fi/yhteystiedot/hameenlinna/,Automyynti: 020 7799 905,myynti.hameenlinna@autosalpa.fi,Huolto ja varaosat:,020 7799 910,hameenlinna.huolto@autosalpa.fi
Autosalpa Oy,Vanhanradankatu 2,Lahti 15520,,,www.autosalpa.fi/fi/yhteystiedot/lahti/,Automyynti: 020 7799 405,myynti.lahti@autosalpa.fi,Huolto ja varaosat:,020 7799 410,huolto.lahti@autosalpa.fi
"Keskusautohalli Oy, Salo",rninkatu 13,Salo 24100,,,www.keskusautohalli.fi,Automyynti: 0207 218 320,huolto@keskusautohalli.fi,,,
"Keskusautohalli Oy, Forssa",Aukeentie 5,Forssa 30100,,,www.keskusautohalli.fi,,,Huolto ja varaosat:,0207 218 350,huolto@keskusautohalli.fi
Autosalpa Oy,Muuralankuja 1,Kotka 48600,,,www.autosalpa.fi/fi/yhteystiedot/kotka/,Automyynti: 020 7799 205,myynti.kotka@autosalpa.fi,Huolto ja varaosat:,020 7799 210,huolto.kotka@autosalpa.fi
Autosalpa Oy,Kaitilankatu 1,Kouvola 45130,,,www.autosalpa.fi/fi/yhteystiedot/kouvola/,Automyynti: 020 7799 605,myynti.kouvola@autosalpa.fi,Huolto ja varaosat:,020 7799 610,huolto.kouvola@autosalpa.fi
Autotalo Pelttari,Allastie 1,Raisio 21200,,,www.autotalopelttari.fi,Automyynti: 044 560 1282,autotalopelttari.raisio@asiakasviestit.fi,Huolto ja varaosat:,044 560 1261,huolto.raisio@autotalopelttari.fi
Kyttauto Oy,Lokomonkatu 25,Tampere 33900,,,www.kayttoauto.fi,Automyynti: 03 2834 704,tiimiposti2@kayttoauto.fi,Huolto ja varaosat:,03 2834 111,tampere@kayttoauto.fi
Autotalo Pelttari,Loimijoentie 55,Huittinen 32700,,,www.autotalopelttari.fi,Automyynti: 044 5601280,autotalopelttari.huittinen@asiakasviestit.fi,Huolto ja varaosat:,044 560 1270,huolto.huittinen@autotalopelttari.fi
Auto-Kilta Oy,Tullitie 3,Lappeenranta 53100,,,www.autokilta.fi,Automyynti: 020 1545 840,markku.kivioja@autokilta.fi,Huolto ja varaosat:,020 154 5802,korjaamolappeenranta@autokilta.fi
Auto-Kilta Oy,Yrittjnkatu 24,Mikkeli 50130,,,www.autokilta.fi,Automyynti: 020 1545 895,jonne.lang@autokilta.fi,Huolto ja varaosat:,020 1545 880,korjaamomikkeli@autokilta.fi
"AutoPalin, Rauma",Lukkovahe 3,Rauma 26100,,,www.autopalin.fi,,,Huolto ja varaosat:,029 009 8950,autopalin.lukkovahe@autopalin.fi
Autotalo Pelttari,Korjuuntie 17-19,Pori 28360,,,www.autotalopelttari.fi,Automyynti: 044 560 1284,autotalopelttari.pori@asiakasviestit.fi,Huolto ja varaosat:,044 560 1285,huolto.pori@autotalopelttari.fi
Auto-Kilta Oy,Anssinkatu 5,Imatra 55100,,,www.autokilta.fi,,,Huolto ja varaosat:,020 154 5781,korjaamoimatra@autokilta.fi
Hmeen Auto,Kuormaajantie 8,Jyvskyl 40320,,,www.hameenauto.fi,Automyynti: 010 5228 210,jyvaskyla@hameenauto.fi,Huolto ja varaosat:,010 5228 240,huolto.jyvaskyla@hameenauto.fi
Zebra-bil Oy,Uppgrdsvgen 5,Mariehamn 22100,,,www.zebrabil.ax,Automyynti: 018 317 62,simon.holmstrom@zebrabil.ax,Huolto ja varaosat:,018 317 62,simon.holmstrom@zebrabil.ax
Warkauden Autoshk,Ryytimaankatu 2,Varkaus 78850,,,www.was.fi,,,Huolto ja varaosat:,017 2701 380,renault@was.fi
Auto-Kilta Oy,Taitajantie 8,Savonlinna 57100,,,www.autokilta.fi,Automyynti: 020 1545 864,vesa.kettunen@autokilta.fi,Huolto ja varaosat:,020 1545 870,korjaamosavonlinna@autokilta.fi
Kyttauto Oy,Pohjankaari 2,Seinjoki 60120,,,www.kayttoauto.fi,Automyynti: 06 4185 124,seinajoki@kayttoauto.fi,Huolto ja varaosat:,06 4185 111,seinajoki@kayttoauto.fi
Kyttauto Oy,Algotsintie 6,Nrpi 64200,,,www.kayttoauto.fi,,,Huolto ja varaosat:,06 3474 111,narpio@kayttoauto.fi
Avain Vaunu,Kaivotie 29,Kuopio 70700,,,www.avainvaunu.fi,Automyynti: 010 5228 525,kuopio@avainvaunu.fi,Huolto ja varaosat:,010 5228 550,huolto.kuopio@avainvaunu.fi
Arton Auto Oy,Kaupparaitti 17,Tervajoki 66440,,,www.artonauto.fi,Automyynti: 010 5044 395,automyynti@artonauto.fi,Huolto ja varaosat:,010 5044 399,huolto@artonauto.fi
