name,addressline1,addressline2,addressline3,addressline4,services,phone,fax
1. AUTO ΒΑΡΔΕΛΛΗΣ Ο.Ε.,Καποδιστρίου 27,"85100, Ρόδος, ΔΩΔΕΚΑΝΗΣΑ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,22410-27774,22410-20696
2. AUTOCLUB ΛAMIAΣ A.E.,2ο χλμ. Νέα Ε.Ο. Λαμίας-Αθήνας,"351 00, Λαμία, ΦΘΙΩΤΙΔΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia","2231-053.250, 2231-022.563",2231-022.980
3. AUTOMOTIVO Α.Ε.Β.Ε.,Μεσσηνίας & Καστοριάς 15,"15344, Γέρακας, ΑΤΤΙΚΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",210-6618686,210-6618185
4. AUTOMOTIVO Α.Ε.Β.Ε.,Λεωφ. Κηφισίας 278,"15232, Χαλάνδρι, ΑΤΤΙΚΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",210-6817447,216-1000603
5. AUTOPROFIT Μ.Ι.Κ.Ε.,Λ. Συγγρού 294,"176 73, Καλλιθέα, ΑΤΤΙΚΗ",,,Εξουσιοδοτημένος Διανομέας Dacia,210 – 9578933,210 – 9578938
6. EVIA MOTORS Α.Ε.,5ο ΧΛΜ ΧΑΛΚΙΔΑΣ – ΑΡΤΑΚΗΣ,"341 00, Χαλκίδα, ΕΥΒΟΙΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia","2221-041.110, 2221-045.110",2221-041.414
7. SPORTEAM Ι.Κ.Ε,Εθνικής Αντιστάσεως 43 & Σαρανταπόρου,"152 34, Χαλάνδρι, ΑΤΤΙΚΗ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,210-67.26.742,210-67.28.065
8. TEOREN MOTORS A.E.,Λεωφ. Τατοΐου 93,"144 51, Μεταμόρφωση, ΑΤΤΙΚΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",210-28.02.800,210-28.38.418
9. A. ΖΥΓΟΥΡΑΣ Α.Ε.,10ο χλμ Ιωαννίνων-Αθηνών,"45500, Ιωάννινα, ΙΩΑΝΝΙΝΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",26510-91474,26510-93744
10. A. ΖΥΓΟΥΡΑΣ Α.Ε.,Χ. Τρικούπη 163,"30100, Αγρίνιο, ΑΙΤΩΛ/ΝΑΝΙΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",26410-33130,26410-25285
11. Α. ΘΑΓΓΟΠΟΥΛΟΣ & ΣΙΑ Ο.Ε.,3ο χλμ. Ε.Ο. Ξάνθης-Καβάλας,"671 00, Ξάνθη, ΞΑΝΘΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2541-073.232,2541-074.949
12. Α. ΤΣΙΓΓΕΛΙΔΗΣ & ΣΙΑ Ο.Ε.,1ο χλμ Ε.Ο. Ν. Μουδανιών-Σιθωνίας,"632 00, Χαλκιδική, ΧΑΛΚΙΔΙΚΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2373-026.293,2373-026.294
13. ΑΘ. ΝΑΣΙΑΚΟΠΟΥΛΟΣ A.Ε.,3ο χλμ. Ε.Ο. Λάρισας-Αθήνας,"413 36, Λάρισα, ΛΑΡΙΣΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2410-671.353,2410-661.537
14. ΑΦΟΙ ΓΕΩΡΓΟΠΟΥΛΟΙ Α.Ε.Β.Ε.,2ο χλμ. Ε.Ο. Λιβαδειάς-Λαμίας,"321 00, Λιβαδειά, ΒΟΙΩΤΙΑ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,2261-025.522,2261-022.312
15. ΑΦΟΙ ΙΩΑΝΝΙΔΗ Α.E.,8ο χλμ. Σερρών-Θεσσαλονίκης,"215 10, Σέρρες, ΣΕΡΡΕΣ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2321-080.000,2321-080.004
16. Γ. ΜΟΣΧΟΠΟΥΛΟΣ & ΣΙΑ Ε.Ε.,Αιτωλικού 134 & Κουμουνδούρου 55,ακριβώς πριν την έναρξη των έργων για το μελλοντικό σταθμό του μετρό “Μανιάτικα”,"185 44, Πειραιάς, ΑΤΤΙΚΗ",,Εξουσιοδοτημένος Επισκευαστής Dacia,210-49.35.424,210-49.19.400
17. Δ.ΨΩΜΙΑΔΗΣ – Ν.ΠΑΠΑΔΟΠΟΥΛΟΣ Ο.Ε. (Υποδίκτυο ΛΑΪΟΝ ΕΛΛΑΣ A.E.),Νέα Περιφερειακή Οδός Βέροιας,"591 00, Βέροια, ΗΜΑΘΙΑ",,,Εξουσιοδοτημένος Διανομέας Dacia,2331-021.888,2331-022.374
18. ΔΕΛΤΑ ΚΑΡ Α.Ε.,Ν.Ε.Ο. Πατρών – Αθηνών 47,"264 42, Πάτρα, ΑΧΑΪΑ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,2610-420373,2610-423772
19. ΔΕΛΤΑ ΚΑΡ Α.Ε.,Ν.Ε.Ο. Πατρών – Αθηνών 33,"264 42, Πάτρα, ΑΧΑΪΑ",,,Εξουσιοδοτημένος Διανομέας Dacia,2610-420373,2610-423772
20. Ε. ΦΙΛΙΠΠΟΥ & ΣΙΑ Ο.E.,5ο χλμ. Ε.Ο. Καρδίτσας-Αθήνας,"431 00, Καρδίτσα, ΚΑΡΔΙΤΣΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2441-021.651,2441-025.817
21. Ι. ΛΟΥΓΙΑΚΗΣ Α.Ε.,Ελαιών 2,"134 51, Καματερό, ΑΤΤΙΚΗ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,210-26.24.499,210-26.24.499
22. Ι. ΛΟΥΓΙΑΚΗΣ Α.Ε.,Λεωφ. Χασιάς 177,"131 21, Ίλιον, ΑΤΤΙΚΗ",,,Εξουσιοδοτημένος Διανομέας Dacia,211-40.05.091,211-40.05.091
23. Κ. ΣΤΑΡΕΝΙΟΣ ΜΟΝ. Ε.Π.Ε.,2o χλμ Εθνικής Οδού Ρεθύμνου-Χανιών,"741 00, Ρέθυμνο, ΡΕΘΥΜΝΟ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2831-027.150,2831-051.529
24. ΚΑΡΑΤΖΑΣ Ι. & ΥΙΟΙ Ο.Ε.,Αεροπόρου Γιαναρέλη 87,"811 00, Μυτιλήνη, ΛΕΣΒΟΣ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2251-037.622,2251-037.350
25. ΚΑΤΑΚΗΣ Α.Ε.,2ο χλμ. Ε.Ο. Κοζάνης-Λάρισας,"501 00, Κοζάνη, ΚΟΖΑΝΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia","2461-041.630, 2461-041.666",2461-041.624
26. ΚΑΤΑΚΗΣ Α.Ε.,9ο χλμ. Ε.Ο. Θεσσαλονίκης-Μουδανιών,"542 50, Θεσσαλονίκη, ΘΕΣΣΑΛΟΝΙΚΗ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,2310-455.811,2310-455.821
27. ΛΑΪΟΝ ΕΛΛΑΣ Α.Ε.,7ο χλμ. Ε.Ο. Θεσσαλονίκης-Μουδανιών,"542 50, Θεσσαλονίκη, ΘΕΣΣΑΛΟΝΙΚΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2310-492.500-9,2310-492.560
28. ΛΑΪΟΝ ΕΛΛΑΣ Α.Ε.,Λεωφ. Κηφισού 138-140,"121 31, Περιστέρι, ΑΤΤΙΚΗ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",210-57.61.101,210-57.59.302
29. ΛΑΪΟΝ ΕΛΛΑΣ Α.Ε.,8ο χλμ. Ε.Ο. Καβάλας-Ελευθερούπολης,"641 00, Καβάλα, ΚΑΒΑΛΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2510-392.200,2510-622.721
30. ΜΑΝΩΛΗΣ ΑΠΟΣΤΟΛΟΣ Ε.Π.Ε.,9ο χλμ. Τρικάλων-Καλαμπάκας,"421 00, Τρίκαλα, ΤΡΙΚΑΛΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2431-088.340,2431-088.343
31. ΜΑΡΙΑ Γ. ΡΟΔΟΥΣΑΚΗ,Κισσάμου 207,"731 36, Χανιά, ΧΑΝΙΑ",,,"Εξουσιοδοτημένος Διανομέας Dacia,Εξουσιοδοτημένος Επισκευαστής Dacia",2821-070.960,2821-076.290
32. Ν. ΒΑΓΙΑΣ - ΣΠ. ΖΗΚΙΔΗΣ Ο.E.,BI.ΠE Πρέβεζας,"481 00, Πρέβεζα, ΠΡΕΒΕΖΑ",,,Εξουσιοδοτημένος Επισκευαστής Dacia,2682-041.914,2682-041.915
