name,address,city,phone
AUTOMOBILE SERVICE,"CALEA MOLDOVEI, NR.22",420096 BISTRITA NASAUD,0040263207030
GENERAL AUTOCOM,"CALEA MUNTENIEI, DN2, E85 NR. 51",620172 FOCSANI,0237228888
AUTO EUROPA,"STR. CALEA LUI TRAIAN, NR.220",240096 RAMNICU VALCEA,0250744304
APAN DRUMUL VIILOR,STR. DRUMUL VIILOR NR. 17 - 19,800248 GALATI,0236419898
SERVICE AUTOMOBILE DEVA,Calea Timisoarei FN,210204 Caransebes,0355429739
ALLMAS DACIA SERVICE,"STR.STEFAN CEL MARE, NR.69A",106400 VALENII DE MUNTE,0244281785
STAR SERVICE,"STR. BARAJULUI, NR. F.N.",820222 TULCEA,0240531215
BRAS,"STR. SILVESTRU, NR. 36",700005 IASI,0232276320
TRANSILVANIA AUTOMOBILE,"STR. DN1, KM.303+505, FN",557260 SELIMBAR,0269560489
AMAT,"BD. NICOLAE BALCESCU, NR.204",110331 PITESTI,0040248218030
EURO-MOTOR,"CALEA BUCURESTI, NR.132",500299 BRASOV,0268329719
Union Motors Car Sales SRL,"SOS. BUCURESTI-PLOIESTI NR. 145, SECTOR 1",75100 BUCURESTI,0040213504860
SERVICE AUTO SERUS CHIAJNA,"SOS DE CENTURA, NR.17,T57/6,",077040 CHIAJNA,0213155564
GRIG AUTO,"STR. PROFESOR NICOLITA SANDA, NR. 3",245700 DRAGASANI,0250813395
REDAC,"STR. RAULUI, NR.387",200636 CRAIOVA,0251429760
SEDA-SERVICE,"STR. BUZESTI, NR.8",235200 CARACAL,0249513869
DACIA SERVICE CLUJ FELEAC,"CALEA TURZII, NR.253-255",400495 CLUJ-NAPOCA,+40264438888
LAZAR SERVICE COM,CALEA TARGU JIULUI NR. 128,220226 DROBETA-TURNU SEVERIN,0352418988
MOTOR GRUP,"STR.CALUGARENI, NR.106",730149 VASLUI,0235361708
AUROCAR 2002,"STR. ALEXANDRU IOAN CUZA, NR.31E",510193 ALBA IULIA,0258839230
IATSA CAMPINA,"STR. N. BALCESCU, NR.44",105600 CAMPINA,0244333163
MERIDIAN VEST,"BD. IULIU MANIU, NR 319-329,",61101 BUCURESTI,0213019030
IATSA DACIA CIMPULUNG,"STR. GENERAL VASILE MILEA, NR 592",117430 COMUNA LERESTI,0248531910
MIDA DN 12,"DN 12, KM 8, NR. FN",0 SFANTU GHEORGHE,0267307785
GENERAL AUTOCOM,"STR. EURO 85, NR. 160",127325 SAT MARACINENI,0238725243
BADSI IMPEX,"SOS.PIPERA, NR.50A,SECTOR 2",014254 BUCURESTI,0212011214
SIMPO TRANS SERVICE COLENTINA,"SOSEAUA COLENTINA, NR.345, SECTOR 2",021169 BUCURESTI,0213503013
AUTO BECORO SAT TISA,"SAT TISA, NR.383B,",437050 SAT TISA,0262218165
IATSA PLATFORMA STEFANESTI,"SOS.BUCURESTI-PITESTI, KM110",117715 STEFANESTI,0248211644
BRAS Bratuleni,"DN28, Soseaua IASI -Targul Frumos, KM 10",707305 IASI,0232276320
GENERAL AUTOCOM,"CALEA MUNTENIEI, DN2, E85 NR. 51",620172 FOCSANI,0237228888
Service Automobile,"Calea Severinului, Nr. 49",200610 Craiova,0351424462
AUTOGROUP-SIMO,"STR. BECLEAN, NR.298",535600 ODORHEIUL SECUIESC,0040266218045
AUTOSERVICE DAC,"STR. MIHAIL KOGALNICEANU, NR.20",625400 PANCIU,0237635778
AUROCAR SERV,"STR. UNIRII, NR.30",335700 ORASTIE,0040254247468
AUTO MARCU'S GRUP,"SOS. PANTELIMON, NR.450, SECTOR 2",021666 BUCURESTI,0040212552955
AUTO COBALCESCU,STR.SPLAIUL UNIRII NR.311 SECT.3,010193 BUCURESTI,0040374102311
VERBITA,"CALEA AUREL VLAICU, NR.282/1",310375 ARAD,0257275650
DAPEROM GRUP AUTO,"STR.TARGUL DIN VALE, NR.3A",110040 PITESTI,0248215666
DEDEMAN AUTOMOBILE,"STR.REPUBLICII, NR.185",600304 BACAU,0234576345
GAMMIS,STR. BRATEIULUI NR.35,551047 MEDIAS,0269822900
EUROCAR SERVICE GIURGIU,"SOS.BUCURESTI, KM.60",080306 GIURGIU,0246210371
CASA AUTO VALEA LUPULUI SRL,"Sat Valea Lupului, NR 10, DN28",700280 COM. VALEA LUPULUI,0232 933
EUROCAR SERVICE TELEORMAN,"STR. BUCURESTI, NR 187",140112 ALEXANDRIA,0247317095
A.S.V. AUTO,"DN 1, km 174+635,5M",500053 GHIMBAV,0040268406305
AUTO BARA & CO,"SOS.BORSULUI, NR.22",410605 ORADEA,0259440000
DACOSERV,"STR.PRECIZIEI, NR.4, SECTOR 6",062203 BUCURESTI,0214340286
COMERT BOGYO,STR. LUNCA OLTULUI NR.FN,520023 SFANTU GHEORGHE,0267351074
DAREX AUTO RADAUTI,"CALEA BUCOVINEI, NR.62",725400 RADAUTI,0230523014
